name,email,phone,address,experience_years,rating,popularity,accessibility,reliability,legal_issues
Lata and Sons Foundation,hgarg@nanda.net,+913562800154,"28, Balakrishnan Road, Phusro-053339",38,4.64,low,difficult,high,dowry|harassment|property_dispute
Boase-Rau Foundation,dayamainath@iyengar.info,+911212941558,"90/75, Madan Path, Nadiad-582308",15,3.2,low,moderate,medium,bribery_corruption
Chopra-Manda Foundation,anirudh22@prabhu.org,+918255568387,"28/214, Gole Chowk, Dibrugarh 226812",42,4.07,low,easy,low,cyber_bullying|workplace_discrimination
Varkey Group Foundation,butalajasmit@kari.com,03337198073,"H.No. 137, Comar Street, Srikakulam-795201",12,4.98,medium,easy,low,child_custody|consumer_rights|FIR_denial|labor_rights_violation
Mahal Ltd Foundation,njha@sane-chaudhari.org,06912476549,"H.No. 199, Merchant Path, Bidar 023573",9,3.87,low,moderate,high,consumer_rights|bribery_corruption|harassment|cyber_crime
"Bora, Sheth and Nath Foundation",darpan38@chacko.org,00318611156,"03/16, Chana Street, Salem 092030",19,4.97,high,moderate,low,workplace_discrimination
"Thakkar, Sem and Randhawa Foundation",gokhalejeet@mital.net,4616613150,"580, Tank Path, Panvel 938799",21,4.37,medium,easy,medium,cyber_crime
Kala PLC Foundation,amarahayer@oommen.net,0062841109,"H.No. 502, Saxena Road, Orai-290060",22,3.05,high,easy,medium,consumer_rights|labor_rights_violation|harassment|bribery_corruption
Kar and Sons Foundation,anamikajani@dugar-dani.com,+911238449214,"66/70, Bir Circle, Proddatur-659857",36,3.78,high,moderate,high,rent_eviction
Keer and Sons Foundation,kalafiyaz@bala.org,+915556656324,"952, Bumb Path, Pondicherry-290277",35,3.38,high,easy,low,consumer_rights|FIR_denial
"Hari, Prashad and Goswami Foundation",jeevikasoni@kade-tripathi.com,09612037742,"H.No. 276, Dutta Circle, Patna-464707",40,3.81,high,easy,medium,workplace_discrimination|domestic_violence|child_custody
Vasa Inc Foundation,dayamaipathak@minhas-sawhney.com,02218039750,"H.No. 838, Baria Nagar, Tinsukia-242486",32,4.94,medium,difficult,medium,workplace_discrimination|cyber_crime|property_dispute|rent_eviction
Nayar and Sons Foundation,maxdalal@bajaj.com,+912095961748,"H.No. 147, Shenoy Ganj, Bilaspur 629591",9,4.08,medium,moderate,high,cyber_bullying
Mallick-Anand Foundation,hiral09@mishra-chaudhari.com,+912081820052,"H.No. 18, Thaker Street, Hubli–Dharwad-271929",45,3.59,low,moderate,low,rent_eviction|cyber_bullying|workplace_discrimination|bribery_corruption
Nayar-Chadha Foundation,avnilata@mody-kannan.com,6562439767,"65/552, Bahri Zila, Secunderabad 433984",42,3.06,low,moderate,high,FIR_denial|cyber_bullying
Nazareth-Acharya Foundation,gautamilal@vig.com,+918494013631,"19/236, Sehgal Road, Ichalkaranji 862011",40,4.32,low,easy,high,domestic_violence
Mistry Group Foundation,chaaya96@mangat-bakshi.biz,03765942332,"334, D’Alia Circle, Jodhpur 472245",38,4.46,high,moderate,high,cyber_crime|harassment|labor_rights_violation|FIR_denial
Soman Group Foundation,santpahal@munshi.com,+919118365478,"H.No. 368, Pall Street, Haldia-400291",15,4.09,high,easy,high,property_dispute|harassment
"Bhakta, Dubey and Bawa Foundation",ekanshvarma@narayanan.net,1338862889,"48, Ratti Chowk, Surendranagar Dudhrej 584239",4,4.88,high,moderate,low,FIR_denial|child_custody
Pandey Ltd Foundation,gabriel77@magar-dalal.com,+911031060969,"H.No. 24, Sahni Nagar, Ahmednagar 532955",15,3.61,high,easy,low,workplace_discrimination
Johal-Dixit Foundation,tnagi@halder.net,02003133776,"H.No. 65, Nagy Chowk, Chittoor-476942",49,3.59,low,easy,medium,bribery_corruption|FIR_denial
"Kota, Dasgupta and Gopal Foundation",bkale@mane.net,+914375699868,"28/859, Gokhale Nagar, Patiala-761375",30,3.5,low,moderate,low,child_custody
"Dada, Kaur and Sinha Foundation",eiravati10@nigam-bal.org,+919002813833,"188, Ghose Circle, Gurgaon 984993",9,3.5,low,difficult,high,cyber_crime
"Soman, Dugal and Apte Foundation",schauhan@patla.com,03800480950,"55, Shere Circle, Dhanbad 797241",20,4.36,medium,difficult,medium,bribery_corruption|workplace_discrimination
"Chand, Khalsa and Mahajan Foundation",fitankalla@rajagopal-vasa.com,00515840544,"H.No. 660, Taneja Street, Kottayam 553960",10,3.34,medium,moderate,high,harassment
Tella and Sons Foundation,lipika88@mohanty.com,7735964087,"92, Dhar Ganj, Bhilai 974081",4,3.9,high,easy,low,labor_rights_violation|bribery_corruption
Mohan PLC Foundation,harini57@mahajan.net,1969252948,"H.No. 770, Saran Ganj, Bhilai 051196",24,4.41,low,moderate,low,cyber_crime|child_custody
Chahal-Vora Foundation,jeet97@luthra-tara.biz,09263305851,"055, Dey Circle, Kozhikode-882317",31,4.23,medium,difficult,high,domestic_violence
Sood-Sami Foundation,jacob06@wagle.com,4817538670,"H.No. 40, Prabhakar Ganj, Durgapur-082780",24,3.56,high,difficult,high,child_custody|domestic_violence
"Desai, Chada and Jha Foundation",timothy99@krish.com,7857945648,"38/63, Kala Chowk, Bangalore-191674",22,3.69,medium,difficult,high,cyber_crime
"Peri, Raju and Doshi Foundation",paninitripathi@bhatia.com,00856606537,"H.No. 742, Munshi Circle, Patiala 180382",8,4.34,medium,difficult,medium,property_dispute|dowry
Choudhry-Maharaj Foundation,urvi86@khare.biz,00501054126,"57, Jani Road, Vellore-619517",45,3.98,high,moderate,high,cyber_bullying|child_custody|labor_rights_violation
Bose Ltd Foundation,arya20@char.com,4585676962,"H.No. 171, Parikh Ganj, Bareilly-048807",7,3.49,high,difficult,low,labor_rights_violation|dowry|consumer_rights
Natt-Bhargava Foundation,ovarughese@bal.com,1626847492,"H.No. 46, Basu, Maheshtala 351530",10,4.8,high,difficult,medium,consumer_rights
Sarna PLC Foundation,pbava@magar.com,08682702259,"66/02, Nanda Marg, Jalgaon 313676",7,4.99,high,easy,high,consumer_rights|workplace_discrimination|property_dispute|child_custody
Khosla-Sarkar Foundation,warjasmander@kapur.com,8349185952,"44, Bhat Zila, Ujjain 974650",10,3.64,low,easy,medium,labor_rights_violation|workplace_discrimination|bribery_corruption
Kapoor-Jani Foundation,suribalveer@goswami.biz,+917240466205,"H.No. 202, Issac Marg, Chinsurah-807628",9,4.23,medium,difficult,low,domestic_violence|consumer_rights|rent_eviction|bribery_corruption
"Varty, Goda and Kari Foundation",sudiksha53@kulkarni.com,09766621924,"09, Mistry Road, Secunderabad-539924",23,3.84,high,easy,medium,bribery_corruption|cyber_bullying
Majumdar-Borde Foundation,natarajanjyoti@edwin-gara.com,8061592841,"H.No. 22, Lanka Marg, Bokaro 971298",35,3.89,high,easy,high,domestic_violence|workplace_discrimination|bribery_corruption
Konda-Jhaveri Foundation,adwetabora@saran.net,01315014507,"65/56, Kuruvilla Chowk, Sri Ganganagar 056898",48,4.62,medium,easy,low,cyber_crime|cyber_bullying
"Rattan, Raju and Mody Foundation",devikasanghvi@gara-kunda.com,03994508418,"96/35, Shan, Imphal 618569",29,3.55,medium,easy,medium,domestic_violence|harassment
"Chauhan, Lala and Lall Foundation",ybaria@batra.com,07352597816,"271, Narayan Ganj, Shahjahanpur 276579",29,4.93,medium,easy,high,harassment|consumer_rights
"Ahuja, Vora and Rao Foundation",rtara@sarraf-borah.org,02869464654,"72/07, Saraf Ganj, Kozhikode-579835",22,3.97,medium,difficult,high,consumer_rights
"Chana, Kar and Bala Foundation",blalla@nagarajan.com,+918061553564,"01, Chad Ganj, Serampore 620437",41,4.94,high,moderate,high,cyber_bullying|harassment
"Munshi, Loke and Singh Foundation",zoak@randhawa.net,+911467498150,"40, Chhabra Circle, Durg-872551",36,3.03,medium,difficult,low,child_custody|labor_rights_violation|dowry
Luthra-Bumb Foundation,dcherian@naik-chhabra.com,+919513005289,"H.No. 45, Dalal Circle, Kirari Suleman Nagar-264524",50,3.53,high,easy,high,property_dispute|harassment
"Kapoor, Nagar and Dugar Foundation",hredhaan54@gara.com,+910468581685,"081, Modi Circle, Guntakal-413371",28,3.58,low,moderate,low,cyber_crime|harassment
Tella Inc Foundation,rachana82@nagi.com,7883510861,"68/86, Prashad Marg, Uluberia-190417",44,4.13,medium,difficult,high,bribery_corruption|property_dispute|domestic_violence|FIR_denial
"Ramaswamy, Chacko and Setty Foundation",tejas93@deep.com,1145574091,"H.No. 635, Kuruvilla Marg, Bhalswa Jahangir Pur 129164",24,4.48,high,moderate,low,workplace_discrimination
Mallick Ltd Foundation,parthhayre@gour-sama.org,4236553916,"66, Tara, Nizamabad 801241",2,4.94,high,difficult,low,dowry|FIR_denial
Om Group Foundation,deepanori@chauhan.info,06117354003,"H.No. 996, Wagle Ganj, Amroha 006016",6,3.47,high,easy,high,bribery_corruption|harassment|rent_eviction|workplace_discrimination
Raj-Dara Foundation,urvipatil@panchal-dara.com,09001451814,"H.No. 412, Mohan Path, Ahmednagar-956919",3,3.83,medium,easy,low,domestic_violence|cyber_bullying
Mukhopadhyay Ltd Foundation,whanda@bhatnagar.net,04900999734,"H.No. 87, Chandra Zila, Sri Ganganagar 931657",21,3.4,high,difficult,high,cyber_crime|harassment|domestic_violence|consumer_rights
Kothari-Kumer Foundation,bboase@sachdeva.net,01902134883,"81/21, Dayal, Malegaon-246703",9,3.31,high,difficult,high,cyber_bullying
Gole-Sandhu Foundation,datejairaj@dhar.com,00573155920,"80/00, Chhabra Street, Khandwa-153098",5,4.96,low,difficult,low,bribery_corruption|domestic_violence|harassment|dowry
"Mohanty, Nazareth and Karpe Foundation",niharikatara@chaudry-sama.com,+912308188056,"98/73, Mammen Zila, Agartala-221638",31,3.15,high,difficult,medium,labor_rights_violation|bribery_corruption|child_custody
Gupta-Bhargava Foundation,jaidhillon@aggarwal.net,1209890252,"667, Chand Marg, Ongole 810191",2,4.28,medium,easy,high,bribery_corruption|harassment|cyber_crime|rent_eviction
"Iyengar, Naik and Mannan Foundation",sarmachanakya@mishra-jain.com,2717425140,"034, Kibe Path, Jalna-511954",11,4.05,high,easy,high,dowry|cyber_bullying|rent_eviction|property_dispute
Gala Ltd Foundation,ekapadsahni@dhawan.com,02315321693,"090, Mane Circle, Purnia 615570",33,4.23,low,easy,medium,domestic_violence|rent_eviction|workplace_discrimination|labor_rights_violation
Ramachandran Inc Foundation,ishaandara@sur-sankaran.com,+918251007236,"87/04, Dalal Chowk, Amritsar 570553",48,4.24,medium,moderate,low,consumer_rights
Sankar-Raju Foundation,ytara@saraf.org,5272542517,"H.No. 258, Mannan, Warangal 151470",10,4.98,high,moderate,medium,child_custody|workplace_discrimination
"Sachdeva, Jayaraman and Bhagat Foundation",kairanganathan@agate-chakrabarti.com,3628482965,"H.No. 620, Lall Nagar, Vellore 505265",20,3.99,high,easy,low,cyber_bullying
Sunder-Rajagopal Foundation,kritikakapur@sha-hans.com,+917197638789,"H.No. 93, Sarin Street, Nizamabad-896958",21,3.63,low,moderate,high,consumer_rights|workplace_discrimination
"Jain, Ben and Rau Foundation",ebahri@sidhu-ravel.net,+914935253617,"H.No. 444, Anand, Shahjahanpur-020731",41,4.61,medium,easy,low,domestic_violence|bribery_corruption|cyber_bullying
"Savant, Luthra and Ramanathan Foundation",rajuwidisha@kalla.com,09202507010,"39/01, Basu Circle, Dhanbad-734715",16,3.98,high,easy,low,property_dispute|dowry
Mukhopadhyay-Comar Foundation,patelhitesh@jayaraman.net,4965445999,"H.No. 573, Iyer Street, Jorhat 316666",21,4.1,high,easy,high,harassment|labor_rights_violation|rent_eviction|consumer_rights
Lata-Date Foundation,rajangirindra@zachariah.com,1960084593,"83/37, Purohit Circle, Mangalore-402239",34,4.3,high,moderate,high,cyber_bullying
Brahmbhatt-Mane Foundation,garima28@johal-sarin.com,8888127766,"17/052, Suresh, Bally-837826",14,4.52,medium,difficult,high,labor_rights_violation
"Sarraf, De and Maharaj Foundation",meghana49@hegde.net,02877661262,"92/110, Mahal Ganj, Ghaziabad-158249",14,4.2,high,easy,low,bribery_corruption
Patla-Bhatia Foundation,wraju@barad-soni.net,06209539254,"H.No. 40, Bora Street, Fatehpur 875921",34,3.19,low,difficult,low,FIR_denial|labor_rights_violation|domestic_violence|consumer_rights
Prabhu and Sons Foundation,nitarathaker@anand-krishna.com,04328436358,"180, Sarma Ganj, Avadi-773855",42,3.82,low,moderate,low,dowry|cyber_crime|consumer_rights
"Vasa, Dewan and Dara Foundation",netraiyengar@mangal.com,9199069813,"375, Goda Circle, Ramagundam 749850",18,4.61,low,difficult,low,dowry|child_custody
"Dhar, Dugar and Batra Foundation",hemanisanghvi@reddy.org,+917439755864,"984, Kala Zila, Karawal Nagar 355107",15,4.23,high,easy,high,bribery_corruption|cyber_crime|FIR_denial
"Sastry, Mitra and Das Foundation",ekaja39@kata.com,03511100674,"52/79, Deo Nagar, Allahabad 277043",22,3.49,high,difficult,medium,property_dispute|workplace_discrimination|cyber_bullying|domestic_violence
Sahni-Kala Foundation,ochopra@muni.biz,+916479655441,"185, Johal Circle, Farrukhabad-210319",16,4.27,medium,moderate,low,dowry|property_dispute
"Sawhney, Acharya and Chopra Foundation",tpandit@devan.biz,9896347820,"H.No. 04, Balakrishnan Street, Dibrugarh 635778",41,4.07,high,moderate,medium,child_custody
"Subramaniam, Ben and Mall Foundation",udyatipau@andra-krishnamurthy.org,7269206427,"53/236, Choudhary Street, Gandhinagar-784705",30,4.46,low,difficult,low,domestic_violence|labor_rights_violation|FIR_denial|harassment
Kale-Ravel Foundation,ramakrishnaneiravati@thaman-biswas.net,1932687807,"H.No. 61, Yohannan Road, Ramagundam-613226",14,3.09,high,moderate,low,FIR_denial|harassment|cyber_bullying|property_dispute
Chaudhary Group Foundation,keeragastya@rajagopal-kadakia.com,0126501138,"837, Krish, Latur 558865",7,4.91,high,easy,medium,bribery_corruption|rent_eviction|FIR_denial|harassment
"Toor, Karpe and Dugar Foundation",rajwishi@pandey-lal.com,+916774120987,"98/99, Ratta, Muzaffarpur 347860",29,4.86,low,difficult,medium,workplace_discrimination
Dora-Prabhakar Foundation,snehapillai@mallick.org,+917410518174,"14, Roy Street, Sasaram-588979",17,3.26,high,easy,high,workplace_discrimination|property_dispute|child_custody
"Seshadri, Sami and Dasgupta Foundation",zkurian@rattan-pandya.net,01527927369,"80/77, Ghose Marg, Fatehpur-346970",37,3.76,low,easy,high,dowry|child_custody
"Dey, Prabhakar and Natarajan Foundation",jasmit33@salvi.com,00582561111,"02/918, Divan Nagar, Bardhaman 643988",3,4.42,medium,difficult,high,labor_rights_violation|cyber_crime|dowry|rent_eviction
Patil-Ratta Foundation,ikurian@sawhney-nigam.biz,+913648104573,"H.No. 06, Sha Road, Bilaspur 996842",21,3.01,medium,moderate,high,domestic_violence
Basak Inc Foundation,wakeetapingle@modi-buch.info,+916033670412,"03, Chand Street, Latur 664799",17,3.49,medium,easy,high,child_custody|harassment|property_dispute|FIR_denial
Oza and Sons Foundation,zaitranazareth@thakur.info,+915757494208,"620, Bail Ganj, Ambarnath-255658",23,4.28,low,moderate,low,rent_eviction|consumer_rights|cyber_crime
Koshy-Sur Foundation,patlajagvi@mittal.com,+914373131336,"H.No. 33, Pillay Street, Bardhaman 412654",18,4.59,high,difficult,low,rent_eviction
Sandal Group Foundation,bhatnagarubika@divan-bawa.com,+913476432345,"84/734, Sarna Circle, Berhampore-878956",33,3.4,high,difficult,medium,cyber_crime|bribery_corruption|dowry
"Chopra, Butala and Salvi Foundation",krish05@solanki-dada.com,2334034559,"H.No. 33, Gole Road, Muzaffarnagar-848607",10,4.2,high,easy,medium,bribery_corruption|rent_eviction|domestic_violence
"Gour, Samra and Hayer Foundation",zehaan53@batra-sachdev.org,03046924645,"H.No. 65, Sawhney Path, Jehanabad-711485",5,3.62,medium,easy,low,bribery_corruption|cyber_crime
"Roy, Goswami and Dhingra Foundation",vigishwar@sharma-mukhopadhyay.net,+910054902148,"H.No. 187, Kunda Circle, Ludhiana 325553",23,4.24,high,easy,low,workplace_discrimination
Swaminathan Inc Foundation,guptadakshesh@kala.biz,4514551533,"H.No. 49, Barad Circle, Amravati 390816",29,3.2,medium,easy,medium,property_dispute|labor_rights_violation|cyber_bullying|bribery_corruption
Venkatesh-Issac Foundation,puriqabil@sachdev-mann.info,0842804391,"H.No. 12, Mistry Ganj, Rampur-130370",45,3.14,medium,easy,high,cyber_crime|bribery_corruption|cyber_bullying|rent_eviction
Baral-Kapadia Foundation,ria13@koshy.biz,6733405548,"87/03, Padmanabhan Nagar, Gandhinagar-717523",23,3.84,low,moderate,low,rent_eviction|domestic_violence|FIR_denial|workplace_discrimination
Lata-Kar Foundation,pmenon@more-ramakrishnan.com,+919607918046,"52/09, Bhagat Ganj, Guna-244912",21,4.64,medium,moderate,low,dowry|harassment|labor_rights_violation
Narain-Pandey Foundation,joshitamanna@zachariah.com,0254913333,"35/94, Chopra Zila, Tumkur 251326",6,3.59,low,moderate,medium,consumer_rights|harassment
Naik and Sons Foundation,obala@kurian-bali.com,+915822206058,"14/963, Ganguly Nagar, Ujjain-425934",2,4.66,low,difficult,high,cyber_crime
Dugar LLC Foundation,atank@sidhu.biz,+910136904718,"H.No. 43, Khatri Ganj, Bellary 445352",8,3.65,high,moderate,medium,domestic_violence|rent_eviction
"Dhar, Kalita and Bir Foundation",saanvi85@tella.net,00139269059,"H.No. 714, Malhotra, Bongaigaon 807102",3,3.71,high,difficult,low,dowry|labor_rights_violation
Arora and Sons Foundation,robertshan@wadhwa.info,4860307678,"890, Thakur Street, Kadapa 804758",50,3.93,medium,difficult,medium,bribery_corruption|rent_eviction|harassment|consumer_rights
Batta and Sons Foundation,faristandon@agrawal.net,6946389737,"98/39, Agate Nagar, Gwalior-385057",20,3.12,high,easy,high,cyber_bullying
"Varughese, Baria and Sami Foundation",sharafyoshita@srinivas-viswanathan.com,3152849761,"83, Ghosh, Ujjain-249481",36,4.0,low,moderate,high,child_custody|harassment
"Balasubramanian, Kara and Loke Foundation",sakshamsridhar@rattan.biz,2181557126,"H.No. 10, Hayer Path, Nashik 641335",50,4.95,medium,moderate,medium,property_dispute|domestic_violence|dowry
Pal and Sons Foundation,rlad@bora.org,+911418870991,"846, Bera Path, Madurai-114099",1,4.94,medium,difficult,high,FIR_denial|bribery_corruption|cyber_bullying
Dass Group Foundation,gangaramakrishnan@nair.com,+915171961459,"91/79, Khurana Ganj, Secunderabad 954676",19,4.93,high,difficult,high,bribery_corruption|consumer_rights|cyber_crime|FIR_denial
"Biswas, Merchant and Hegde Foundation",gautamioza@andra.com,05114141125,"H.No. 65, Aurora Circle, Avadi 614441",24,3.84,low,moderate,low,workplace_discrimination|property_dispute
"Sem, Murty and Dasgupta Foundation",hritik12@pal.com,2879865031,"H.No. 57, Buch Road, Kadapa 355809",8,3.84,high,moderate,low,cyber_bullying|workplace_discrimination|labor_rights_violation
Nazareth Ltd Foundation,yochana17@warrior.biz,+919150613440,"H.No. 655, Basu Marg, Jorhat 568642",42,4.28,high,moderate,low,child_custody|workplace_discrimination
"Purohit, Sarin and Pillay Foundation",nlanka@kala.com,07874203758,"24/694, Sandal Street, Nagaon 419610",42,4.38,high,easy,low,consumer_rights|rent_eviction
Thakkar-Prabhakar Foundation,chatreshdhillon@dave-ratti.info,4302721681,"20/535, Choudhry Street, Siliguri-997809",40,4.12,low,difficult,medium,dowry
Dutta-Joshi Foundation,vyanjana47@dayal-nayar.net,00314796976,"H.No. 11, Barman Circle, Jamnagar 399853",25,4.99,medium,moderate,low,consumer_rights|workplace_discrimination
Deshmukh Ltd Foundation,vyaslila@deshpande.net,05592974056,"69, Trivedi Street, Bidar-887469",22,4.11,low,moderate,high,property_dispute
"Kala, Kothari and Johal Foundation",sarkarrohan@ramachandran.org,06233020195,"07/16, Karpe Marg, Silchar-004557",36,3.02,high,difficult,medium,domestic_violence|workplace_discrimination|cyber_bullying|child_custody
Bandi Ltd Foundation,xganguly@badal-varghese.net,1031778165,"H.No. 96, Tripathi Nagar, Begusarai 054452",36,3.22,high,difficult,low,consumer_rights
Thakkar-Ramakrishnan Foundation,agastyamitra@sachar-sama.com,00333280236,"27, Anand Ganj, Ozhukarai-293004",44,3.36,medium,moderate,medium,FIR_denial|harassment
Reddy PLC Foundation,nsunder@mohanty-sem.biz,04175576889,"H.No. 66, Datta Path, Pallavaram 311668",6,4.05,high,difficult,medium,labor_rights_violation|dowry|property_dispute
"Sane, Nadkarni and Salvi Foundation",chatterjeevictor@jain.org,+914010816408,"82/49, Sanghvi, Bhusawal 538417",25,3.17,high,moderate,low,child_custody|cyber_crime|dowry|FIR_denial
"Chanda, Pandya and Sandhu Foundation",udarshbal@apte.org,06473670465,"H.No. 32, Narang Marg, Gulbarga-782795",33,4.66,high,moderate,high,rent_eviction
"Sharma, Chadha and Buch Foundation",jsinha@oza-dewan.biz,06805819296,"04/975, Shroff Marg, Rajpur Sonarpur-223782",32,4.13,low,moderate,high,consumer_rights|child_custody|labor_rights_violation|bribery_corruption
Banerjee and Sons Foundation,ekanta27@more.net,6578664057,"91/791, Sule, Malda-019405",4,4.28,medium,easy,medium,cyber_crime|workplace_discrimination|child_custody
Gupta Inc Foundation,aahanaminhas@kannan.com,09453818198,"05, Brahmbhatt Road, Darbhanga 377518",2,4.43,high,moderate,medium,rent_eviction|harassment|consumer_rights|child_custody
Guha Group Foundation,bpatel@bhasin-thakur.info,8682796898,"59, Walla Zila, Katni-795230",41,3.05,low,difficult,low,child_custody
"Goel, Cherian and Radhakrishnan Foundation",ydayal@buch-raghavan.net,+918529524416,"168, Sen Circle, Khandwa 439085",44,3.2,high,difficult,low,FIR_denial|property_dispute|child_custody|cyber_crime
"Parsa, Oommen and Ravel Foundation",nandiniray@jani.com,+917845547207,"84/974, Ganguly Zila, Dhule-554906",9,4.18,medium,difficult,low,rent_eviction|cyber_bullying|dowry|labor_rights_violation
"Master, Bhat and Jaggi Foundation",odara@dora.net,+919682256089,"H.No. 20, Sekhon Path, Gulbarga-176005",22,4.7,high,moderate,low,harassment|cyber_crime|domestic_violence
"Krishnamurthy, Sane and Saini Foundation",leena57@ahuja-patla.com,06656376471,"446, Andra Circle, Satna 761269",31,3.33,high,difficult,medium,domestic_violence|consumer_rights|bribery_corruption
Nair and Sons Foundation,nreddy@ratti-lad.net,05047550905,"H.No. 04, Swaminathan, Chandigarh 954639",8,4.78,high,moderate,low,domestic_violence|consumer_rights|cyber_bullying|dowry
Sandal Group Foundation,dbanerjee@boase.com,08566258803,"16, Pillai Marg, Berhampore 230335",28,3.57,low,difficult,medium,cyber_bullying|labor_rights_violation|property_dispute|bribery_corruption
Bhatia and Sons Foundation,ranveerkorpal@bakshi.net,+919392159533,"92/578, Jayaraman Marg, Ramgarh 545817",45,4.77,high,difficult,high,cyber_crime
Gopal-Khare Foundation,chawlakamya@rajagopalan.com,+916800087264,"53/90, Lata Zila, Dehradun-745837",17,3.31,high,difficult,high,FIR_denial|domestic_violence|property_dispute|child_custody
Patil LLC Foundation,varsha57@kaul.com,7743637662,"082, Morar Chowk, Mangalore 133077",14,3.52,high,difficult,high,property_dispute|FIR_denial|harassment|bribery_corruption
Pillai-Dalal Foundation,djaggi@upadhyay.com,03510427342,"57/503, Pant Marg, Coimbatore-759478",22,3.22,high,easy,high,FIR_denial|bribery_corruption
Zacharia-Hans Foundation,yagneshpandya@lata.com,0086429335,"28, Kunda, South Dumdum-676615",4,3.93,medium,easy,high,property_dispute|consumer_rights
Bhagat Ltd Foundation,barmandeepa@ranganathan-om.com,1485488523,"H.No. 208, Srinivas Zila, Munger 712754",20,3.82,medium,easy,low,consumer_rights
Rajagopal-Lal Foundation,vanshanagy@uppal.com,+911264065138,"H.No. 139, Grewal Nagar, Mau 098082",47,4.2,medium,moderate,high,rent_eviction|domestic_violence
"Date, Chakraborty and Karnik Foundation",balendravarughese@rao.com,3884518197,"01, Joshi Street, Naihati 773236",30,3.09,low,moderate,medium,property_dispute|rent_eviction|workplace_discrimination
Bobal Group Foundation,shankeryasti@chawla-parikh.com,3333908062,"H.No. 11, Singh Ganj, Jalandhar 709705",30,3.6,medium,easy,high,cyber_bullying|child_custody
"Sachar, Nori and Natt Foundation",taramandal@salvi.biz,+913581785678,"19/31, Chatterjee Road, Alwar-539923",2,4.65,high,difficult,medium,rent_eviction|domestic_violence|workplace_discrimination|bribery_corruption
Gandhi and Sons Foundation,borahchanakya@kamdar-bhattacharyya.com,7436975502,"H.No. 637, Kibe Chowk, Dhanbad-714908",42,3.3,low,difficult,high,workplace_discrimination|labor_rights_violation|domestic_violence|consumer_rights
Nigam-Thaker Foundation,deepasha@mutti.org,09354171364,"54/52, Yadav Chowk, Thane 115579",42,3.7,medium,moderate,low,domestic_violence
Mani-Sami Foundation,sara47@edwin-menon.com,03262143072,"H.No. 48, Kakar Nagar, Pudukkottai-245770",43,3.04,low,difficult,high,workplace_discrimination|child_custody
Dhawan-Nagi Foundation,vasudha22@hora-mistry.biz,+914780936911,"50, Subramanian Nagar, Asansol 226151",20,3.82,medium,easy,high,cyber_crime
Kuruvilla-De Foundation,owenjain@sarna-dhillon.biz,0569867606,"94/16, Sami Nagar, Sultan Pur Majra 418175",16,3.15,high,easy,low,bribery_corruption|cyber_crime|domestic_violence|property_dispute
Garg-Din Foundation,rushillal@jain.org,+913059432741,"86/28, Gandhi Path, Amritsar 044403",13,4.69,high,moderate,high,harassment
"Wason, Grewal and Contractor Foundation",harshilsaxena@korpal-deo.com,00945225709,"93/77, Dhaliwal Path, Bhopal 091434",19,3.41,low,easy,medium,rent_eviction|FIR_denial|domestic_violence|cyber_bullying
"Devi, Samra and Vasa Foundation",baraducchal@shankar.net,2264296922,"07/22, Iyengar Circle, Sirsa-018222",5,3.57,high,easy,high,FIR_denial|bribery_corruption|consumer_rights
Dixit Inc Foundation,palandarsh@saran.com,+918044719015,"H.No. 90, Dara Circle, Bokaro-734534",32,3.76,high,difficult,high,harassment|cyber_crime|cyber_bullying|property_dispute
Varty-Raja Foundation,agarwalsaumya@bains.com,0926203818,"05/832, Iyengar Street, Khora  751545",36,4.25,medium,easy,low,property_dispute
Rege and Sons Foundation,aahana68@raja.com,09786998828,"H.No. 80, Garg Zila, Kharagpur 244005",7,3.24,high,difficult,low,property_dispute|child_custody|harassment|consumer_rights
Ghosh-Kota Foundation,xkant@yogi.org,6780200327,"08/89, Handa Nagar, Alwar 940926",28,3.5,high,difficult,low,consumer_rights|workplace_discrimination
Bajwa-Dewan Foundation,krishnasankar@magar.com,5134968439,"48/202, Nori, Dhanbad 166313",1,3.22,high,difficult,high,child_custody|labor_rights_violation|property_dispute
Balakrishnan-Savant Foundation,varora@batra-modi.net,09060829107,"72/406, Kulkarni Road, Karnal 943456",25,4.72,high,easy,low,cyber_crime|dowry|rent_eviction
Bajaj-Kakar Foundation,loyalekantika@korpal.com,+913833675202,"52/29, Barad Ganj, South Dumdum 012971",48,4.92,high,easy,medium,consumer_rights|property_dispute
"Bora, Dewan and Devi Foundation",zwalla@zachariah-patla.com,7399000192,"373, Comar Nagar, Indore 032815",3,4.65,low,moderate,medium,workplace_discrimination|bribery_corruption
Sane and Sons Foundation,fnair@mander-sehgal.com,5943235010,"30, Dewan Nagar, Bhiwani-643032",5,4.07,low,moderate,medium,consumer_rights
Sinha-Bhakta Foundation,krishamitra@sheth.com,01231716207,"68, Merchant Road, Kollam-269104",31,3.16,low,difficult,high,child_custody
Dyal-Tank Foundation,pbawa@bains.info,8571186049,"H.No. 21, Dua Zila, Varanasi 647664",45,4.48,medium,easy,high,workplace_discrimination|harassment|cyber_crime
"Balay, Char and Ray Foundation",mnori@dayal.net,+912248660547,"91/756, Dhar Street, Bidhannagar-349329",45,3.68,medium,difficult,medium,cyber_crime|cyber_bullying
